Rank(us news),Name,State,tot_enroll,Enrollment Rate,tuition(in state), tuition(out of state),total cost(in state), total cost(out of state),Avg debt at graduation,Average need Aid,% of aid need met,Average non-need-based aid,Graduate Starting Salary,Mid career Salary,Avg Grad Year
1,Princeton University,NJ,"8,014",7.40%,"$40,170.00","$40,170.00","$56,395.00","$56,395.00","$5,096.00","$35,664.00",98.00%,$0.00,"$56,100",,
2,"Harvard University Cambridge, MA",MA,"19,882",5.80%,"$38,981.00","$38,981.00","$57,497.00","$57,497.00","$13,098.00","$40,950.00",100.00%,$0.00,"$55,300",,
3,"Yale University New Haven, CT",CT,"12,109",6.90%,"$44,000.00","$44,000.00","$58,550.00","$58,550.00","$10,742.00","$43,115.00",100.00%,$0.00,"$50,000",,
4,"Columbia University New York, NY",NY,"23,606",6.90%,"$46,846.00","$46,846.00","$62,807.00","$62,807.00",Null,"$41,207.00",100.00%,$0.00,"$57,600",,
4,"Stanford University Stanford, CA",CA,"18,136",5.70%,"$42,690.00","$42,690.00","$57,911.00","$57,911.00","$18,833.00","$39,897.00",100.00%,"$14,010.00","$61,300",,
4,"University of Chicago Chicago, IL",IL,"12,539",8.80%,"$45,324.00","$45,324.00","$63,607.00","$63,607.00","$23,930.00","$37,593.00",100.00%,"$11,440.00",,,
7,"Massachusetts Institute of Technology Cambridge, MA",MA,"11,301",8.20%,"$43,210.00","$43,210.00","$57,242.00","$57,242.00","$20,794.00","$35,993.00",100.00%,$0.00,,,
8,"Duke University Durham, NC",NC,"15,465",12.40%,"$44,020.00","$44,020.00","$59,578.00","$59,578.00","$19,506.00","$37,507.00",100.00%,"$54,637.00",,,
8,"University of Pennsylvania Philadelphia, PA",PA,"21,358",12.20%,"$40,594.00","$40,594.00","$60,002.00","$60,002.00","$21,190.00","$36,048.00",100.00%,$0.00,,,
10,"California Institute of Technology Pasadena, CA",CA,"2,181",10.60%,"$39,990.00","$39,990.00","$55,368.00","$55,368.00","$15,090.00","$34,831.00",100.00%,$0.00,,,
11,"Dartmouth College Hanover, NH",NH,"6,342",10.40%,"$45,444.00","$45,444.00","$61,669.00","$61,669.00","$17,825.00","$40,342.00",100.00%,$0.00,,,
12,"Johns Hopkins University Baltimore, MD",MD,"21,052",17.10%,"$45,470.00","$45,470.00","$61,002.00","$61,002.00","$23,092.00","$33,476.00",99.00%,"$30,898.00",,,
13,"Northwestern University Evanston, IL",IL,"20,997",14%,"$45,120.00","$45,120.00","$61,259.00","$61,259.00","$21,754.00","$33,312.00",100.00%,"$2,371.00",,,
14,"Washington University in St. Louis St. Louis, MO",MO,"14,032",15.60%,"$44,100.00","$44,100.00","$59,758.00","$59,758.00","$22,681.00","$31,295.00",100.00%,"$6,072.00",,,
15,"Cornell University Ithaca, NY",NY,"21,593",15.60%,"$45,310.00","$45,310.00","$59,887.00","$59,887.00","$20,490.00","$35,752.00",100.00%,$0.00,,,
16,"Brown University Providence, RI",RI,"8,943",9.20%,"$44,608.00","$44,608.00","$58,636.00","$58,636.00","$23,521.00","$36,541.00",100.00%,"$6,349.00",,,
